更新时间：2026-07-10  07:20
湖北节目,#genre#
山东卫视4K,http://27.29.167.106:8883/rtp/239.69.1.26:9796
湖南卫视4K,http://27.29.167.106:8883/rtp/239.69.1.27:9802
四川卫视4K,http://27.29.167.106:8883/rtp/239.69.1.28:9808
特色频道,#genre#
凤凰中文台,http://27.29.167.106:8883/rtp/239.69.2.20:11274
凤凰资讯台,http://27.29.167.106:8883/rtp/239.69.2.19:11268
CHC影迷电影,http://27.29.167.106:8883/rtp/239.69.1.241:11088
CHC动作电影,http://27.29.167.106:8883/rtp/239.69.1.242:11094
CHC家庭影院,http://27.29.167.106:8883/rtp/239.69.1.243:11100
都市剧场,http://27.29.167.106:8883/rtp/239.69.2.4:11178
欢笑剧场,http://27.29.167.106:8883/rtp/239.69.2.5:11184
环球奇观,http://27.29.167.106:8883/rtp/239.254.96.192:9232
少儿教育,#genre#
哈哈炫幼,http://27.29.167.106:8883/rtp/239.254.96.14:8058
卡酷少儿,http://27.29.167.106:8883/rtp/239.254.96.188:9208
金鹰卡通,http://27.29.167.106:8883/rtp/239.254.96.189:9214
新动漫,http://27.29.167.106:8883/rtp/239.69.1.187:10764
央视少儿,http://27.29.167.106:8883/rtp/239.69.1.107:10280
武汉少儿,http://27.29.167.106:8883/rtp/239.69.1.6:9676
山东教育卫视,http://27.29.167.106:8883/rtp/239.69.1.228:11010
中国教育,http://27.29.167.106:8883/rtp/239.69.1.110:10298
CETV1,http://27.29.167.106:8883/rtp/239.69.1.110:10298
CETV2,http://27.29.167.106:8883/rtp/239.69.1.183:10734
CETV4,http://27.29.167.106:8883/rtp/239.69.1.175:10686
CGTN,http://27.29.167.106:8883/rtp/239.254.96.7:8016
其他节目,#genre#
九屏导视,http://27.29.167.106:8883/rtp/239.69.1.156:10572
梨园频道,http://27.29.167.106:8883/rtp/239.69.1.33:9838
老故事,http://27.29.167.106:8883/rtp/239.69.1.85:10150
东方财经,http://27.29.167.106:8883/rtp/239.69.2.9:11208
财富天下,http://27.29.167.106:8883/rtp/239.254.96.210:9340
书画,http://27.29.167.106:8883/rtp/239.69.1.189:10776
先锋乒羽,http://27.29.167.106:8883/rtp/239.69.1.143:10494
四屏导视,http://27.29.167.106:8883/rtp/239.69.1.170:10656
国学频道,http://27.29.167.106:8883/rtp/239.254.96.194:9244
四海钓鱼,http://27.29.167.106:8883/rtp/239.69.1.244:11106
快乐垂钓,http://27.29.167.106:8883/rtp/239.69.1.142:10488
汽摩,http://27.29.167.106:8883/rtp/239.69.1.84:10144
茶频道,http://27.29.167.106:8883/rtp/239.69.1.144:10500
财富天下,http://27.29.167.106:8883/rtp/239.254.96.210:9340
